BranchID,BranchName,Location
1aeec4e0-577d-48bd-b4bc-7d5f18a5d9e8,West Jenniferside,New Joshuachester
6cdab8e8-7899-487b-a24d-6b40dd220067,New Brianland,Maryport
a0c4c544-b78a-4c03-bf92-f246c3796ca2,Port Wayne,New Joseph
0b5df725-bc09-483d-9d54-f53eb8584f8a,New Jessica,Port John
682fcede-345d-48dc-b69d-5f4702482877,Michelleside,Thomasport
30f319ad-5d9c-44e1-ad3e-1b1d33a8928e,Andrewhaven,Jonesborough
b254017f-a54a-4e83-b8c6-25f9c7ec30f1,North Veronica,New Ryan
feb22fd7-6615-4a02-a2f6-d257f98292f9,West Paulatown,Port Jenniferchester
7c175e37-7803-4602-bc27-77dc2d6003be,Cohenfort,New Lauren
1573dcfc-374f-4fda-b59a-9b053ba364db,Elizabethmouth,Forbesbury
